danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_uri,duration_ms,time_signature,key_mode,track_name,album_name,artist
0.614,0.928,G#,-4.806,minor,0.0516,0.0408,0.00104,0.0845,0.879,172.656,4r8lRYnoOGdEi6YyI5OC1o,200560,4,G# minor,Bye Bye Bye,No Strings Attached,*NSYNC
0.731,0.853,A#,-4.219,minor,0.0363,0.0352,0,0.268,0.605,108.016,1di1BEgJYzPvXUuinsYJGP,225360,4,A# minor,Everybody (Backstreet's Back) - Radio Edit,Backstreet's Back,Backstreet Boys
0.787,0.63,C,-12.295,major,0.0609,0.0274,6.69e-6,0.161,0.882,125.347,6J6RWKCPN5RFKHUKEUFjxS,267293,4,C major,Step by Step,Step By Step,New Kids On The Block
0.751,0.939,G#,-3.305,minor,0.0466,0.0521,5.6e-4,0.477,0.905,112.041,221LRlPHPuevgE1tuUlof9,200440,4,G# minor,I Want You Back - Radio Edit,'N Sync UK Version,*NSYNC
0.469,0.386,D,-12.112,major,0.0272,0.103,1.2e-5,0.291,0.383,102.476,2QqbBVwpyJn7SL7thga35w,207467,4,D major,Tonight,Step By Step,New Kids On The Block
0.788,0.522,C,-13.029,minor,0.0578,0.0126,1.35e-6,0.0671,0.923,111.578,4buDeg67vos7KP1yHrS9wl,249960,4,C minor,You Got It (The Right Stuff),Hangin' Tough,New Kids On The Block
0.6,0.663,D#,-5.802,major,0.0477,0.225,0,0.119,0.286,121.07,4nVBt6MZDDP6tRVdQTgxJg,245493,4,D# major,Story of My Life,Midnight Memories (Deluxe),One Direction
0.676,0.95,G,-3.513,major,0.0473,0.0763,0,0.807,0.645,103.988,5jZlPGOiYTcBjgVCXofrOz,22e4,4,G major,That's The Way I Like It,Backstreet's Back,Backstreet Boys
0.658,0.837,D,-2.063,major,0.0543,0.0629,0,0.0969,0.936,126.015,6aGjEZ7kq3YXgD0EDt80O5,200187,4,D major,Live While We're Young,Take Me Home: Yearbook Edition,One Direction
0.652,0.877,C#,-2.986,major,0.0465,0.0227,0,0.0789,0.486,118.491,5T7ZFtCcOgkpjxcuaeZbw0,200107,4,C# major,Best Song Ever,Midnight Memories (Deluxe),One Direction
0.668,0.951,D,-3.453,major,0.0784,0.0324,0,0.338,0.826,113.986,7yMnml7zdYl5LlDFZPm5Hd,175093,4,D major,Burnin' Up,A Little Bit Longer,Jonas Brothers
0.602,0.677,G,-3.849,major,0.0628,5.09e-4,0,0.152,0.751,137.03,1ZP0sKDoVM1NCFB65Esfm6,153347,4,G major,S.O.S.,Jonas Brothers,Jonas Brothers
0.641,0.725,G,-6.111,minor,0.0943,0.271,0,0.463,0.681,128.126,4b4c0oH7PtrPsI86drzgFs,198800,4,G minor,Chasing The Sun,The Wanted (Special Edition),The Wanted
0.6,0.499,E,-6.102,major,0.0624,0.109,0,0.17,0.516,158.136,3Q0Ngf7Llu1KIteVHRfiXw,220693,4,E major,Lovebug,A Little Bit Longer,Jonas Brothers
0.383,0.772,D,-3.703,major,0.0345,0.0285,0,0.289,0.467,135.99,5QbWc5ipIn02XePjT0Tvaf,249693,4,D major,When You Look Me In The Eyes,Jonas Brothers,Jonas Brothers
0.572,0.786,G#,-8.469,major,0.0642,0.519,0.00093000000000000005,0.11,0.952,188.115,6cb0HzFQPN4BGADOmSzPCw,174867,4,G# major,ABC,ABC,The Jackson 5
0.664,0.739,F,-5.342,minor,0.0713,0.00684,0,0.0439,0.851,90.006,6FkX1akf4mwRZSznL73kDR,189547,4,F minor,24/Seven,24/seven,Big Time Rush
0.593,0.889,D,-6.326,major,0.0454,0.00206,0,0.111,0.83,125.694,7cnfSpQsV2fDTgfcIbfYUu,235533,4,D major,A Minute Without You,Middle Of Nowhere,Hanson
0.61,0.899,D#,-4.116,major,0.0414,0.00273,2.63e-5,0.103,0.377,134.932,7D3JBDIclfiRIydnduKHBN,203619,4,D# major,Lightning,Battleground,The Wanted
0.662,0.82,B,-5.268,major,0.0566,0.22,0,0.125,0.411,89.966,65vfVmMkBs9z1K1sgviVOu,243813,4,B major,Penny & Me,Underneath,Hanson
