danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_uri,duration_ms,time_signature,key_mode,track_name,album_name,artist
0.822,0.739,C#,-4.541,minor,0.0311,0.0264,4.26e-5,0.181,0.745,118.992,1dzQoRqT5ucxXVaAhTcT0J,241933,4,C# minor,Just Dance,The Fame (Revised International Version),Lady Gaga
0.894,0.678,F#,-5.611,minor,0.0523,0.00569,2.43e-6,0.317,0.844,105.024,0eH2eHURaXUP15D8gQlfjx,216333,4,F# minor,LoveGame,The Fame (Revised International Version),Lady Gaga
0.762,0.692,F,-3.973,minor,0.0438,0.113,0,0.094,0.397,114.906,02XnQdf7sipaKBBHixz3Zp,208307,4,F minor,Paparazzi,The Fame (Revised International Version),Lady Gaga
0.851,0.806,E,-4.62,major,0.0787,0.118,1.64e-6,0.121,0.787,118.999,1QV6tiMFM6fSOKOGLMHYYg,237200,4,E major,Poker Face,The Fame (Revised International Version),Lady Gaga
0.68,0.876,C#,-3.646,minor,0.0577,0.246,1.87e-4,0.0788,0.816,187.785,3WUbVS0J4Ulf0XZR6LNRnh,175360,4,C# minor,"Eh, Eh (Nothing Else I Can Say)",The Fame (Revised International Version),Lady Gaga
0.782,0.906,D,-5.229,major,0.152,0.017,0.0503,0.293,0.697,120.064,0Bjr5EAEa5YxfSHHWzZmds,172413,4,D major,"Beautiful, Dirty, Rich",The Fame (Revised International Version),Lady Gaga
0.816,0.694,F,-3.325,major,0.0504,0.0296,1.48e-5,0.035,0.966,127.021,3HhAZV8ngUOOt4eUHovhud,222107,4,F major,The Fame,The Fame (Revised International Version),Lady Gaga
0.775,0.756,C#,-3.231,major,0.0476,0.0132,3.02e-4,0.0775,0.831,119.004,6gknJVkbQb8jkAXbXx0SYA,170293,4,C# major,Money Honey,The Fame (Revised International Version),Lady Gaga
0.876,0.631,G#,-5.939,minor,0.143,0.0208,0,0.062,0.509,102.992,7qPvYVyM7ZU7PHz5LTvRY6,217120,4,G# minor,Starstruck,The Fame (Revised International Version),Lady Gaga
0.725,0.662,A,-5.068,major,0.0404,0.0144,0,0.0996,0.814,122.989,33CB8obztQNidFDbO6Z1Wl,200813,4,A major,Boys Boys Boys,The Fame (Revised International Version),Lady Gaga
0.752,0.84,C#,-5.047,major,0.0786,0.0502,1.07e-6,0.227,0.574,98.969,2iY7jqy8zBlbk5RliSfTH1,263360,4,C# major,Paper Gangsta,The Fame (Revised International Version),Lady Gaga
0.747,0.508,A#,-4.764,major,0.0314,0.126,6.75e-6,0.0842,0.595,125.072,6a3tkCh4IRkloHPVYxwtZ0,243e3,4,A# major,Brown Eyes,The Fame (Revised International Version),Lady Gaga
0.719,0.896,A#,-4.104,major,0.0413,0.121,2.47e-5,0.138,0.8,120.008,2UsdgG4NzhmwObtfyEMBjL,202493,4,A# major,I Like It Rough,The Fame (Revised International Version),Lady Gaga
