album_uri,album_name,album_img,album_release_date,album_release_year,album_popularity,track_name,track_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,key_mode,track_popularity
5hVsQ9MdhzoPAxDB8ohTCr,5 Seconds Of Summer,https://i.scdn.co/image/f96bcdd2a885e2ded415b75659afd08176c58168,2014-01-01,2014-01-01,30,She Looks So Perfect,50iYq7AOtwvZBbjcYWR48v,0.491,0.953,C#,-4.205,minor,0.127,6.1e-4,0,0.328,0.451,160.067,202496,4,C# minor,32
5hVsQ9MdhzoPAxDB8ohTCr,5 Seconds Of Summer,https://i.scdn.co/image/f96bcdd2a885e2ded415b75659afd08176c58168,2014-01-01,2014-01-01,30,Don't Stop,5RpXdNM0PK9EYCsBHCd4tk,0.575,0.956,G#,-3.421,major,0.0646,0.00343,8.85e-5,0.0433,0.905,149.956,169936,4,G# major,33
5hVsQ9MdhzoPAxDB8ohTCr,5 Seconds Of Summer,https://i.scdn.co/image/f96bcdd2a885e2ded415b75659afd08176c58168,2014-01-01,2014-01-01,30,Good Girls,17qRQOod3Ujpvfo5DJXAFn,0.534,0.923,E,-5.173,major,0.0751,0.0142,0,0.118,0.565,141.039,206424,4,E major,25
5hVsQ9MdhzoPAxDB8ohTCr,5 Seconds Of Summer,https://i.scdn.co/image/f96bcdd2a885e2ded415b75659afd08176c58168,2014-01-01,2014-01-01,30,Kiss Me Kiss Me,51IDdV5iWWxjsrBU18vxNO,0.468,0.949,C,-4.785,major,0.102,2.86e-4,0,0.107,0.356,150.05,204620,4,C major,18
5hVsQ9MdhzoPAxDB8ohTCr,5 Seconds Of Summer,https://i.scdn.co/image/f96bcdd2a885e2ded415b75659afd08176c58168,2014-01-01,2014-01-01,30,18,67gJbK5kY61AV8vy4y54Yn,0.455,0.955,D,-4.022,major,0.198,4.49e-4,9.15e-5,0.354,0.34,160.134,189009,4,D major,15
5hVsQ9MdhzoPAxDB8ohTCr,5 Seconds Of Summer,https://i.scdn.co/image/f96bcdd2a885e2ded415b75659afd08176c58168,2014-01-01,2014-01-01,30,Everything I Didn't Say,0RBQbrd0LeZSgHxCf7Y0oA,0.373,0.915,A,-4.622,major,0.0993,0.017,0,0.291,0.384,175.018,180421,4,A major,16
5hVsQ9MdhzoPAxDB8ohTCr,5 Seconds Of Summer,https://i.scdn.co/image/f96bcdd2a885e2ded415b75659afd08176c58168,2014-01-01,2014-01-01,30,Beside You,5Hmwizz0A3mOQqiA67LGuE,0.397,0.827,G,-5.027,major,0.0945,0.00464,1.28e-5,0.111,0.612,153.06,220250,4,G major,20
5hVsQ9MdhzoPAxDB8ohTCr,5 Seconds Of Summer,https://i.scdn.co/image/f96bcdd2a885e2ded415b75659afd08176c58168,2014-01-01,2014-01-01,30,End Up Here,6lNgDgV7LrlkKLx8qRhVWw,0.504,0.989,G#,-4.078,major,0.211,0.0168,1.33e-6,0.265,0.463,151.987,181895,4,G# major,17
5hVsQ9MdhzoPAxDB8ohTCr,5 Seconds Of Summer,https://i.scdn.co/image/f96bcdd2a885e2ded415b75659afd08176c58168,2014-01-01,2014-01-01,30,Long Way Home,6XwffqgxTitQM9roYOGnH3,0.45,0.871,F#,-5.041,major,0.0598,0.012,0,0.225,0.816,181.978,199027,4,F# major,17
5hVsQ9MdhzoPAxDB8ohTCr,5 Seconds Of Summer,https://i.scdn.co/image/f96bcdd2a885e2ded415b75659afd08176c58168,2014-01-01,2014-01-01,30,Heartbreak Girl,1fYZ2d294iginGnpqTLdxu,0.47,0.776,A#,-3.625,major,0.058,0.00117,0,0.0685,0.704,166.98,198374,4,A# major,24
